time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
9.9,400.2589633,400.7722441,-8.78920956,10114.36176,-75.66103858,36.0299992,32.18849308180388,45.03238236,2.61414141,-0.282148708,0.0020970255301758,-0.4663178016805936,-0.0045550144712835,527.3525736,1076.948966,0.001749261,1449.161907,482.6179881,-1628.434604,4.428598659,-15643.04447,2.015876299,18074.4154,0.487583151,0.526007193,335.6319431
10.0,400.27447,400.7897316,-8.057977977,10115.20391,-75.66090295,36.03010874,32.188490971886765,45.03244104,2.569757343,-0.282129619,0.0033116960558514,-0.4294062562364927,-0.0049732736617284,483.4786786,1076.945619,0.001749215,1449.114556,482.6149878,-1622.004916,4.54273694,-15803.71393,2.135047293,18244.69495,0.220727433,0.526020394,335.6393228
10.1,400.2887033,400.8057868,-7.352273612,10115.97421,-75.66076731,36.03021829,32.18848908197094,45.03243975,2.52900361,-0.28198843,0.0045836623610400005,-0.39371356390997175,-0.0053915328521733,441.1364167,1076.942557,0.001749173,1449.071247,482.6122434,-1615.311978,4.526406164,-15969.29718,2.217464121,18420.08645,0.4149273,0.526032863,335.6463245
10.2,400.3017381,400.8204606,-6.672789262,10116.67525,-75.66063168,36.03032784,32.18848740205642,45.03238152,2.49175624,-0.281720121,0.005892928218691563,-0.35928046200026464,-0.005759600939764812,400.3673557,1076.93977,0.001749134,1449.031833,482.6097458,-1608.400234,4.395823851,-16138.80542,2.241556768,18599.55956,0.996949664,0.526044606,335.6529492
10.3,400.313649,400.8338097,-6.020067347,10117.30967,-75.66049603,36.03043739,32.188485932141646,45.0322739,2.45788761,-0.281322587,0.007200246019839684,-0.32613978098903224,-0.006039490822685818,361.2040408,1076.937248,0.001749099,1448.996164,482.6074856,-1601.310745,4.177372688,-16311.30795,2.195311854,18782.13381,1.861128688,0.526055633,335.6591992
10.4,400.3245079,400.8458966,-5.394509234,10117.88017,-75.66036038,36.03054695,32.18848465222974,45.03212775,2.427267187,-0.280797502,0.008465107648368672,-0.2943170747939374,-0.006205533991714491,323.670554,1076.934981,0.001749068,1448.96409,482.605453,-1594.082893,3.903536575,-16485.93876,2.076315616,18966.89308,2.884609648,0.526065955,335.6650785
10.5,400.3343835,400.8567889,-4.796384271,10118.38949,-75.66022473,36.03065651,32.18848357231912,45.03195573,2.39976223,-0.280150627,0.009646661213485758,-0.26383125102221944,-0.006247245319199955,287.7830563,1076.932956,0.00174904,1448.935457,482.6036385,-1586.753603,3.608702321,-16661.88111,1.890773947,19152.97977,3.942511571,0.526075585,335.6705918
10.6,400.3433402,400.8665578,-4.225839064,10118.84037,-75.66008907,36.03076607,32.18848266240832,45.03177086,2.375238473,-0.279391614,0.010708810374097752,-0.23469422719601693,-0.006168463622369579,253.5503438,1076.931164,0.001749015,1448.910109,482.6020321,-1579.357627,3.32528631,-16838.38383,1.651768034,19339.61541,4.921387345,0.526084537,335.6757453
10.7,400.3514385,400.8752777,-3.682905915,10119.23558,-75.65995341,36.03087564,32.18848193250039,45.03158517,2.353560736,-0.278533377,0.011624053156038414,-0.2069121912595174,-0.005984945240589441,220.9743549,1076.929593,0.001748994,1448.887891,482.6006241,-1571.926918,3.080553181,-17014.74509,1.377058045,19526.0447,5.72981696,0.526092829,335.6805461
10.8,400.3587348,400.883024,-3.167511849,10119.57788,-75.65981775,36.0309852,32.18848136259226,45.03140868,2.334593487,-0.277591169,0.01237531541701287,-0.18048588805785445,-0.0057238483733487,190.050711,1076.928232,0.001748975,1448.868648,482.5994046,-1564.491397,2.894376551,-17190.32055,1.08643892,19711.6,6.305337158,0.526100477,335.6850021
10.9,400.3652825,400.8898718,-2.679486263,10119.87,-75.65968209,36.03109477,32.188480952685495,45.03124862,2.318201382,-0.276581488,0.012957154057967385,-0.15541050474554902,-0.0054087215860272,160.7691758,1076.927071,0.001748959,1448.852225,482.5983638,-1557.079581,2.778056682,-17364.51221,0.799575759,19895.65898,6.617459926,0.526107501,335.6891221
11.0,400.3711321,400.8958946,-2.21856968,10120.11468,-75.65954642,36.03120434,32.18848068277857,45.03110912,2.30424977,-0.275520955,0.01337495488217618,-0.13167704588521756,-0.0050764060648518,133.1141808,1076.926098,0.001748945,1448.83847,482.5974921,-1549.716522,2.73419133,-17536.77715,0.533800688,20077.63047,6.666949839,0.526113922,335.6929157
11.1,400.3763325,400.9011632,-1.784420854,10120.31461,-75.65941075,36.03131392,32.18848055287301,45.03099124,2.29260512,-0.274425289,0.013643500200753613,-0.10927147401087942,-0.004755549699579,107.0652513,1076.925303,0.001748934,1448.827231,482.5967798,-1542.426638,2.757479946,-17706.61738,0.302683396,20257.01921,6.481885974,0.52611976,335.696393
11.2,400.3809306,400.9057441,-1.376624704,10120.47245,-75.65927508,36.03142349,32.18848056296883,45.03089332,2.283135459,-0.273308466,0.013784562409914618,-0.08817665768446015,-0.004469070802014,82.59748221,1076.924676,0.001748926,1448.818358,482.5962175,-1535.230875,2.836262061,-17873.58915,0.115006991,20433.34081,6.111327889,0.526125037,335.6995645
11.3,400.3849728,400.9096993,-0.994699166,10120.5908,-75.6591394,36.03153306,32.188480683064526,45.03081152,2.275710729,-0.272182132,0.013824096497778588,-0.06837128287598096,-0.004234158106010699,59.68194997,1076.924205,0.001748919,1448.811705,482.5957958,-1528.149368,2.954535139,-18037.28276,-0.025372193,20606.17154,5.617564039,0.526129776,335.7024415
11.4,400.3885043,400.9130857,-0.638102295,10120.67224,-75.65900373,36.03164264,32.18848092316161,45.0307406,2.270203131,-0.271055298,0.013789489846952736,-0.04983134265382587,-0.0040680003454230005,38.28613772,1076.923882,0.001748915,1448.807127,482.5955057,-1521.199717,3.094182719,-18197.34144,-0.119458363,20775.12775,5.067908313,0.526133999,335.7050352
11.5,400.3915695,400.9159548,-0.306238827,10120.71925,-75.65886805,36.03175222,32.188481273258574,45.03067469,2.266487439,-0.269934306,0.013706697445556451,-0.03252956422694672,-0.0039648679422996,18.37432961,1076.923695,0.001748912,1448.804484,482.5953382,-1514.398391,3.237149267,-18353.43985,-0.172355037,20939.88734,4.526976833,0.52613773,335.7073575
11.6,400.3942115,400.9183533,0.001533727,10120.73429,-75.65873238,36.03186179,32.18848171335698,45.03060805,2.264441266,-0.268823046,0.013598351126497368,-0.016436325677335283,-0.0039247608966405,-0.092023624,1076.923635,0.001748911,1448.803639,482.5952846,-1507.759152,3.367339208,-18505.30015,-0.192003032,21100.13975,4.050214809,0.526140992,335.7094202
11.7,400.3964723,400.9203233,0.285898696,10120.71973,-75.6585967,36.03197137,32.18848225345526,45.03053572,2.263945298,-0.267723356,0.013482040694085979,-0.0015183381570945,-0.0039304904745918,-17.15392175,1076.923693,0.001748912,1448.804457,482.5953365,-1501.294794,3.472077128,-18652.67877,-0.188316543,21255.62996,3.679177527,0.526143809,335.7112353
